Series_Title,Released_Year,Certificate,Runtime,Genre,IMDB_Rating
The Shawshank Redemption,1994,A,142 min,Drama,9.3
The Godfather,1972,A,175 min,"Crime, Drama",9.2
The Dark Knight,2008,UA,152 min,"Action, Crime, Drama",9
The Godfather: Part II,1974,A,202 min,"Crime, Drama",9
12 Angry Men,1957,U,96 min,"Crime, Drama",9
The Lord of the Rings: The Return of the King,2003,U,201 min,"Action, Adventure, Drama",8.9
Pulp Fiction,1994,A,154 min,"Crime, Drama",8.9
Schindler's List,1993,A,195 min,"Biography, Drama, History",8.9
Inception,2010,UA,148 min,"Action, Adventure, Sci-Fi",8.8
Fight Club,1999,A,139 min,Drama,8.8
The Lord of the Rings: The Fellowship of the Ring,2001,U,178 min,"Action, Adventure, Drama",8.8
Forrest Gump,1994,UA,142 min,"Drama, Romance",8.8
"Il buono, il brutto, il cattivo",1966,A,161 min,Western,8.8
The Lord of the Rings: The Two Towers,2002,UA,179 min,"Action, Adventure, Drama",8.7
The Matrix,1999,A,136 min,"Action, Sci-Fi",8.7
Goodfellas,1990,A,146 min,"Biography, Crime, Drama",8.7
Star Wars: Episode V - The Empire Strikes Back,1980,UA,124 min,"Action, Adventure, Fantasy",8.7
One Flew Over the Cuckoo's Nest,1975,A,133 min,Drama,8.7
Hamilton,2020,PG-13,160 min,"Biography, Drama, History",8.6
Gisaengchung,2019,A,132 min,"Comedy, Drama, Thriller",8.6
Soorarai Pottru,2020,U,153 min,Drama,8.6
Interstellar,2014,UA,169 min,"Adventure, Drama, Sci-Fi",8.6
Cidade de Deus,2002,A,130 min,"Crime, Drama",8.6
Sen to Chihiro no kamikakushi,2001,U,125 min,"Animation, Adventure, Family",8.6
Saving Private Ryan,1998,R,169 min,"Drama, War",8.6
The Green Mile,1999,A,189 min,"Crime, Drama, Fantasy",8.6
La vita è bella,1997,U,116 min,"Comedy, Drama, Romance",8.6
Se7en,1995,A,127 min,"Crime, Drama, Mystery",8.6
The Silence of the Lambs,1991,A,118 min,"Crime, Drama, Thriller",8.6
Star Wars,1977,UA,121 min,"Action, Adventure, Fantasy",8.6
Seppuku,1962,,133 min,"Action, Drama, Mystery",8.6
Shichinin no samurai,1954,U,207 min,"Action, Adventure, Drama",8.6
It's a Wonderful Life,1946,PG,130 min,"Drama, Family, Fantasy",8.6
Joker,2019,A,122 min,"Crime, Drama, Thriller",8.5
Whiplash,2014,A,106 min,"Drama, Music",8.5
The Intouchables,2011,UA,112 min,"Biography, Comedy, Drama",8.5
The Prestige,2006,U,130 min,"Drama, Mystery, Sci-Fi",8.5
The Departed,2006,A,151 min,"Crime, Drama, Thriller",8.5
The Pianist,2002,R,150 min,"Biography, Drama, Music",8.5
Gladiator,2000,UA,155 min,"Action, Adventure, Drama",8.5
American History X,1998,R,119 min,Drama,8.5
The Usual Suspects,1995,A,106 min,"Crime, Mystery, Thriller",8.5
Léon,1994,A,110 min,"Action, Crime, Drama",8.5
The Lion King,1994,U,88 min,"Animation, Adventure, Drama",8.5
Terminator 2: Judgment Day,1991,U,137 min,"Action, Sci-Fi",8.5
Nuovo Cinema Paradiso,1988,U,155 min,"Drama, Romance",8.5
Hotaru no haka,1988,U,89 min,"Animation, Drama, War",8.5
Back to the Future,1985,U,116 min,"Adventure, Comedy, Sci-Fi",8.5
Once Upon a Time in the West,1968,U,165 min,Western,8.5
Psycho,1960,A,109 min,"Horror, Mystery, Thriller",8.5
Casablanca,1942,U,102 min,"Drama, Romance, War",8.5
Modern Times,1936,G,87 min,"Comedy, Drama, Family",8.5
City Lights,1931,G,87 min,"Comedy, Drama, Romance",8.5
Capharnaüm,2018,A,126 min,Drama,8.4
Ayla: The Daughter of War,2017,,125 min,"Biography, Drama, History",8.4
Vikram Vedha,2017,UA,147 min,"Action, Crime, Drama",8.4
Kimi no na wa.,2016,U,106 min,"Animation, Drama, Fantasy",8.4
Dangal,2016,U,161 min,"Action, Biography, Drama",8.4
Spider-Man: Into the Spider-Verse,2018,U,117 min,"Animation, Action, Adventure",8.4
Avengers: Endgame,2019,UA,181 min,"Action, Adventure, Drama",8.4
Avengers: Infinity War,2018,UA,149 min,"Action, Adventure, Sci-Fi",8.4
Coco,2017,U,105 min,"Animation, Adventure, Family",8.4
Django Unchained,2012,A,165 min,"Drama, Western",8.4
The Dark Knight Rises,2012,UA,164 min,"Action, Adventure",8.4
3 Idiots,2009,UA,170 min,"Comedy, Drama",8.4
Taare Zameen Par,2007,U,165 min,"Drama, Family",8.4
WALL·E,2008,U,98 min,"Animation, Adventure, Family",8.4
The Lives of Others,2006,A,137 min,"Drama, Mystery, Thriller",8.4
Oldeuboi,2003,A,101 min,"Action, Drama, Mystery",8.4
Memento,2000,UA,113 min,"Mystery, Thriller",8.4
Mononoke-hime,1997,U,134 min,"Animation, Action, Adventure",8.4
Once Upon a Time in America,1984,A,229 min,"Crime, Drama",8.4
Raiders of the Lost Ark,1981,A,115 min,"Action, Adventure",8.4
The Shining,1980,A,146 min,"Drama, Horror",8.4
Apocalypse Now,1979,R,147 min,"Drama, Mystery, War",8.4
Alien,1979,R,117 min,"Horror, Sci-Fi",8.4
Anand,1971,U,122 min,"Drama, Musical",8.4
Tengoku to jigoku,1963,,143 min,"Crime, Drama, Mystery",8.4
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,A,95 min,Comedy,8.4
